"Match","Hero","Player","Result","Kills","Deaths","Assists","KDA","GPM","XPM","Last Hits","Denies","LVL","HD","TD","HH","GS","End Game Items"
"7006656045","Beastmaster","Hyko","Win","4","3","15","6.33","513","561","194","4","16","9790","7150","2968","14150","Quelling Blade Helm of the Overlord Dust of Appearance Boots of Speed Pipe of Insight Sange"
"7006656045","Bounty Hunter","RedMonster","Loss","0","8","4","0.50","185","211","25","0","9","4192","0","0","5015","Wind Lace Magic Wand Orb of Venom Phase Boots Wraith Band"
"7006656045","Snapfire","ArzenT","Loss","2","3","5","2.33","362","434","149","4","14","11874","478","1332","9660","Guardian Greaves Soul Ring Magic Wand Dust of Appearance Fluffy Hat Cloak"
"7006656045","Medusa","Rena.-♥","Loss","2","2","2","2.00","590","668","334","17","18","12192","887","0","16625","Power Treads Crystalys Wraith Band Dragon Lance Manta Style Eye of Skadi"
"7006656045","Earth Spirit","ᅚ","Loss","0","9","7","0.78","150","188","15","2","9","4564","222","0","4060","Dust of Appearance Magic Wand Vitality Booster Boots of Speed Urn of Shadows Healing Salve"
"7006656045","Dawnbreaker","-_Möön_-","Loss","6","4","1","1.75","520","551","217","6","16","11594","219","1810","13440","Blink Dagger Soul Ring Phase Boots Black King Bar Magic Wand Skull Basher"
"7006656045","Clockwerk","NUAGES","Win","3","5","17","4.00","266","381","23","9","13","10031","71","0","7090","Magic Wand Tranquil Boots Force Staff Smoke of Deceit"
"7006656045","Kunkka","Mr.Jeans","Win","4","1","14","18.00","539","654","199","4","18","12120","837","110","13970","Phase Boots Black King Bar Heaven's Halberd Platemail Bottle Bracer"
"7006656045","Mirana","jupiter","Win","7","0","10","-","440","565","133","7","17","15155","610","0","11600","Power Treads Gleipnir Wraith Band Wraith Band Magic Wand Smoke of Deceit"
"7006656045","Luna","mini","Win","7","1","10","17.00","686","720","286","8","19","13601","6235","0","17270","Dragon Lance Black King Bar Mask of Madness Crystalys Power Treads Eye of Skadi"
"7006481719","Snapfire","internet любовь","Loss","2","9","6","0.89","262","360","84","8","15","13697","0","195","9595","Force Staff Arcane Boots Sentry Ward Blink Dagger Magic Wand Wind Lace"
"7006481719","Tiny","foryou","Loss","2","9","8","1.11","323","451","130","7","17","17465","0","0","9515","Point Booster Echo Sabre Bottle Power Treads Blink Dagger Quelling Blade"
"7006481719","Morphling","kenny","Loss","2","6","3","0.83","530","612","321","28","20","14834","1372","0","17315","Power Treads Manta Style Dragon Lance Eye of Skadi Mithril Hammer Magic Wand"
"7006481719","Nature's Prophet","kur0patbI4","Loss","5","5","5","2.00","493","404","270","17","16","16708","3639","0","15395","Power Treads Aghanim's Scepter Heaven's Halberd Assault Cuirass Magic Wand"
"7006481719","Clockwerk","BLACKARXANGEL","Win","1","5","28","5.80","292","385","37","11","16","13601","583","0","7150","Magic Wand Force Staff Tranquil Boots Wind Lace"
"7006481719","Tusk","Dodren","Win","11","3","26","12.33","541","712","177","8","22","34618","2892","0","19585","Phase Boots Overwhelming Blink Gem of True Sight Black King Bar Desolator Falcon Blade"
"7006481719","Drow Ranger","Dinozavrik","Win","22","0","9","-","817","899","369","13","24","29185","24987","0","30490","Power Treads Hurricane Pike Manta Style Silver Edge Eye of Skadi Black King Bar"
"7006481719","Shadow Shaman","ArrOw","Win","5","2","19","12.00","354","575","64","4","19","13045","4810","0","9560","Blink Dagger Magic Stick Force Staff Boots of Speed Aether Lens"
"7006481719","Centaur Warrunner","Blizzy","Win","3","1","23","26.00","626","837","343","1","23","14894","4041","0","22555","Magic Wand Crimson Guard Overwhelming Blink Boots of Travel Pipe of Insight Lotus Orb"
"7006481719","Treant Protector","VANSKOR","Loss","0","13","6","0.46","207","254","39","1","12","6136","0","2019","6740","Magic Stick Force Staff Observer and Sentry Wards Wraith Band Smoke of Deceit Boots of Speed"
"7006351484","Tusk","Dodren","Win","7","5","20","5.40","479","683","186","9","24","25385","834","0","21520","Boots of Speed Blink Dagger Dust of Appearance Black King Bar Aghanim's Scepter Desolator"
"7006351484","Batrider","foryou","Loss","4","6","12","2.67","463","583","297","5","22","28417","0","0","15675","Boots of Travel Black King Bar Wind Lace Magic Stick Blink Dagger Octarine Core"
"7006351484","Death Prophet","Blizzy","Win","9","2","23","16.00","596","798","321","2","26","26588","8039","5321","25975","Platemail Black King Bar Blink Dagger Guardian Greaves Heaven's Halberd Lotus Orb"
"7006351484","Tiny","ArrOw","Win","6","7","21","3.86","401","636","75","2","23","20027","582","0","15585","Blink Dagger Aghanim's Scepter Force Staff Tranquil Boots Lotus Orb"
"7006351484","Skywrath Mage","internet любовь","Loss","8","8","8","2.00","258","451","34","5","19","27887","363","0","12420","Blink Dagger Magic Wand Null Talisman Force Staff Glimmer Cape Boots of Speed"
"7006351484","Treant Protector","VANSKOR","Loss","2","11","14","1.45","245","336","46","0","16","13274","0","6014","9605","Force Staff Blink Dagger Observer and Sentry Wards Boots of Speed Iron Branch Magic Stick"
"7006351484","Ursa","Dinozavrik","Win","15","1","10","25.00","796","841","448","4","28","45853","13913","0","29515","Phase Boots Swift Blink Nullifier Abyssal Blade Black King Bar Battle Fury"
"7006351484","Centaur Warrunner","kur0patbI4","Loss","4","8","11","1.88","431","521","236","5","21","14695","827","0","16835","Phase Boots Heaven's Halberd Aghanim's Scepter Force Staff Blink Dagger Vanguard"
"7006351484","Jakiro","BLACKARXANGEL","Win","3","7","18","3.00","338","504","74","1","20","16379","9146","0","14305","Magic Wand Force Staff Glimmer Cape Boots of Travel Observer and Sentry Wards Fluffy Hat"
"7006351484","Shadow Fiend","kenny","Loss","4","8","7","1.38","601","686","434","15","24","34279","2307","0","24690","Power Treads Manta Style Hurricane Pike Butterfly Black King Bar Crystalys"
"7006232412","Morphling","Andy","Loss","10","1","6","16.00","842","858","647","24","27","28221","19033","0","41810","Satanic Manta Style Swift Blink Eye of Skadi Daedalus"
"7006232412","Mirana","Yds.","Win","4","7","23","3.86","348","591","125","1","22","19941","1506","4339","13425","Guardian Greaves Magic Wand Spirit Vessel Dust of Appearance Vladmir's Offering"
"7006232412","Weaver","Xm","Win","9","3","13","7.33","751","834","516","10","27","52176","12650","0","32065","Daedalus Gleipnir Eye of Skadi Black King Bar Hurricane Pike Divine Rapier"
