HERO_ID,HERO,HERO_TYPE,STR_BASE,STR_GAIN,STR_30,AGI_BASE,AGI_GAIN,AGI_30,INT_BASE,INT_GAIN,INT_30,TOTAL_BASE,TOTAL_GAIN,TOTAL_30,MOVE_SPEED_BASE,ARMOR_BASE,DMG_BASE_LO,DMG_BASE_HI,ATTACK_RANGE,ATTACK_SPEED_BASE,ATTACK_TIME_BASE,TURN_RATE,HEALING_BASE,LEGS_COUNT
0,Abaddon,STR,22,2.6,97.4,23,1.5,66.5,18,2.0,76.0,63,6.1,239.9,325,2.83,50,60,150,120,1.7,0.6,3.2,2
1,Alchemist,STR,23,2.7,101.3,22,1.5,65.5,25,1.8,77.2,70,6.0,244.0,305,2.67,50,56,150,100,1.7,0.6,2.55,2
2,Ancient Apparition,INT,20,1.9,75.1,20,2.2,83.8,23,3.4,121.6,63,7.5,280.5,285,2.33,44,54,675,100,1.7,0.6,2.25,0
3,Anti-Mage,AGI,21,1.6,67.4,24,2.8,105.2,12,1.8,64.2,57,6.2,236.8,310,4.0,53,57,150,100,1.4,0.6,2.35,2
4,Arc Warden,AGI,22,2.6,97.4,20,3.0,107.0,24,2.6,99.4,66,8.2,303.8,285,2.33,51,57,625,100,1.7,0.7,2.45,2
5,Axe,STR,25,2.8,106.2,20,2.0,78.0,18,1.6,64.4,63,6.4,248.6,310,2.33,55,59,150,100,1.7,0.6,5.0,2
6,Bane,INT,22,2.5,94.5,22,2.5,94.5,22,2.5,94.5,66,7.5,283.5,305,4.67,55,61,400,100,1.7,0.6,2.45,4
7,Batrider,INT,28,2.9,112.1,15,1.8,67.2,22,2.9,106.1,65,7.6,285.4,310,4.5,39,43,400,100,1.7,0.9,4.55,2
8,Beastmaster,STR,23,2.9,107.1,18,1.6,64.4,16,1.9,71.1,57,6.4,242.6,305,3.0,54,58,150,100,1.7,0.6,2.55,2
9,Bloodseeker,AGI,24,2.7,102.3,22,3.1,111.9,17,2.0,75.0,63,7.8,289.2,300,5.67,57,63,150,100,1.7,0.6,2.65,2
10,Bounty Hunter,AGI,20,2.5,92.5,21,2.6,96.4,22,1.9,77.1,63,7.0,266.0,325,8.5,54,62,150,100,1.7,0.6,3.25,2
11,Brewmaster,STR,23,3.7,130.3,19,2.0,77.0,15,1.6,61.4,57,7.3,268.7,310,2.17,52,59,150,100,1.7,0.6,2.8,2
12,Bristleback,STR,22,2.5,94.5,17,1.8,69.2,14,2.8,95.2,53,7.1,258.9,295,3.83,52,58,150,100,1.8,0.9,3.2,2
13,Broodmother,AGI,18,3.2,110.8,19,3.4,117.6,18,2.0,76.0,55,8.6,304.4,285,3.17,48,54,150,125,1.7,0.6,2.05,8
14,Centaur Warrunner,STR,27,4.0,143.0,15,1.0,44.0,15,1.6,61.4,57,6.6,248.4,300,0.5,63,65,150,90,1.7,0.6,7.7,4
15,Chaos Knight,STR,22,3.2,114.8,18,1.4,58.6,18,1.2,52.8,58,5.8,226.2,325,5.0,51,81,150,100,1.7,0.6,2.45,2
16,Chen,INT,25,2.0,83.0,15,2.1,75.9,19,3.2,111.8,59,7.3,270.7,305,1.5,46,56,650,100,1.7,0.6,2.75,2
17,Clinkz,AGI,16,2.0,74.0,22,2.5,94.5,18,2.2,81.8,56,6.7,250.3,290,3.67,37,43,600,100,1.7,0.6,1.85,2
18,Clockwerk,STR,26,3.5,127.5,13,2.3,79.7,18,1.5,61.5,57,7.3,268.7,310,3.17,50,52,150,100,1.7,0.6,3.1,2
19,Crystal Maiden,INT,17,2.2,80.8,16,1.6,62.4,16,3.3,111.7,49,7.1,254.9,280,1.67,44,50,600,100,1.7,0.6,1.95,2
20,Dark Seer,INT,22,2.6,97.4,19,1.8,71.2,21,2.7,99.3,62,7.1,267.9,295,5.17,54,60,150,100,1.7,0.6,2.45,2
21,Dark Willow,INT,20,2.0,78.0,18,1.6,64.4,21,3.5,122.5,59,7.1,264.9,290,2.0,48,56,475,115,1.5,0.7,2.75,2
22,Dawnbreaker,STR,26,3.4,124.6,14,1.7,63.3,20,2.2,83.8,60,7.3,271.7,310,3.33,55,59,150,100,1.7,0.6,2.85,2
23,Dazzle,INT,18,2.3,84.7,20,1.7,69.3,25,3.7,132.3,63,7.7,286.3,305,3.33,47,53,575,100,1.7,0.7,2.05,2
24,Death Prophet,INT,21,3.1,110.9,16,2.0,74.0,24,3.3,119.7,61,8.4,304.6,285,3.67,47,57,600,100,1.7,0.8,2.35,2
25,Disruptor,INT,21,2.4,90.6,15,1.4,55.6,20,2.9,104.1,56,6.7,250.3,295,2.5,49,53,625,100,1.7,0.6,2.35,2
26,Doom,STR,24,3.7,131.3,15,1.5,58.5,15,1.7,64.3,54,6.9,254.1,285,5.5,58,68,200,100,1.9,0.6,2.65,2
27,Dragon Knight,STR,21,3.4,119.6,16,2.0,74.0,18,1.7,67.3,55,7.1,260.9,310,2.67,55,61,150,100,1.7,0.6,2.35,2
28,Drow Ranger,AGI,16,1.9,71.1,20,2.9,104.1,15,1.4,55.6,51,6.2,230.8,300,3.33,49,56,625,100,1.7,0.7,1.85,2
29,Earth Spirit,STR,22,3.8,132.2,17,2.4,86.6,20,2.1,80.9,59,8.3,299.7,290,2.83,47,57,150,100,1.7,0.6,3.2,2
30,Earthshaker,STR,22,3.7,129.3,12,1.4,52.6,18,2.1,78.9,52,7.2,260.8,315,4.0,49,59,150,100,1.7,0.9,3.2,2
31,Elder Titan,STR,26,3.0,113.0,16,1.8,68.2,23,1.6,69.4,65,6.4,250.6,310,2.67,49,59,150,100,1.7,0.6,2.85,2
32,Ember Spirit,AGI,22,2.6,97.4,22,3.2,114.8,20,2.2,83.8,64,8.0,296.0,300,2.67,55,59,150,100,1.7,0.8,3.45,2
33,Enchantress,INT,17,1.7,66.3,19,2.1,79.9,22,3.8,132.2,58,7.6,278.4,320,4.17,45,55,575,100,1.7,0.6,1.95,4
34,Enigma,INT,21,2.5,93.5,14,1.0,43.0,19,3.6,123.4,54,7.1,259.9,290,3.33,43,49,500,100,1.7,0.6,2.35,0
35,Faceless Void,AGI,20,2.4,89.6,19,3.0,106.0,15,1.5,58.5,54,6.9,254.1,300,4.17,56,62,150,100,1.7,0.9,3.0,2
36,Grimstroke,INT,21,2.4,90.6,18,1.9,73.1,25,3.8,135.2,64,8.1,298.9,290,3.0,46,50,600,100,1.7,0.6,2.35,0
