p_id,Gamer_ID,name,country,Region,team_name,role
0,Magical,Huỳnh Hữu Nghĩa,Vietnam,Southeast Asia,496,Coach
1,dnm,David Cossio,United States,North America,5RATFORCESTAFF,Carry
2,Speeed,Paul Bocchicchio,United States,North America,5RATFORCESTAFF,Offlaner
3,Kitzz,Francis Arriola,United States,North America,5RATFORCESTAFF,Solo Middle
4,CTOMAHEH1,Nikolay Kalchev,Bulgaria,Europe,5RATFORCESTAFF,Support
5,albinozebra1,Matthew Conley,United States,North America,5RATFORCESTAFF,Support
6,charlie,Charlie Arat,Sweden,Europe,Alliance,Carry
7,Loda,Jonathan Emanuel Berg,Sweden,Europe,Alliance,Coach
8,s4,Gustav Magnusson,Sweden,Europe,Alliance,Offlaner
9,ChYuan,Ng Kee Chyuan,Malaysia,Southeast Asia,Alliance,Solo Middle
10,ponlo,Remus Goh Zhi Xian,Singapore,Southeast Asia,Alliance,Support
11,Handsken,Simon Rasmus Haag,Sweden,Europe,Alliance,Support
12,Lumière,Edward Guillen Valencia,Peru,South America,Alliance.LATAM,Carry
13,Vitaly,Pablo Cesar Angulo Roman,Peru,South America,Alliance.LATAM,Offlaner
14,4nalog,João Gabriel Giannini,Brazil,South America,Alliance.LATAM,Solo Middle
15,Thiolicor,Thiago de Oliveira Cordeiro,Brazil,South America,Alliance.LATAM,Support
16,Gardick,Brayan Antony López Cárdenas,Peru,South America,Alliance.LATAM,Support
17,Rises,Diego Nicolás Ortas Rodríguez,Uruguay,South America,ALPHA,Carry
18,Monster,Steven Noel,United States,North America,ALPHA,Offlaner
19,BlackSoul,Josue Ronald Ticona Aliendre,Bolivia,South America,ALPHA,Solo Middle
20,wij,Nicolás Moreno,Argentina,South America,ALPHA,Support
21,Yadomi,Junior Reyes Rimari,Peru,South America,ALPHA,Support
22,Derp,Frederico Micko B. Mampusti,Philippines,Southeast Asia,ALPHA Esports Pro,Support
23,lil pleb,Stoyan Kostov,Bulgaria,Europe,Ancient Tribe,Carry
24,Mitch,Damir Škaričić,Croatia,Europe,Ancient Tribe,Offlaner
25,meLes,Andrei Romanov,Russia,Europe,Ancient Tribe,Offlaner
26,MTD,Samu Hautala,Finland,Europe,Ancient Tribe,Solo Middle
27,LeBronDota,Nikola Popović,Serbia,Europe,Ancient Tribe,Support
28,Heaven,Yevhen Ponomarjov,Ukraine,Europe,Ancient Tribe,Support
29,Argius,Jhordyn Mendoza Vásquez,Peru,South America,Another NA Team,Carry
30,RRL,Ryan Liu,United States,North America,Another NA Team,Solo Middle
31,USH,Chris Usher,United States,North America,Another NA Team,Solo Middle
32,FeelinG,Brayan Zarate,Peru,South America,Another NA Team,Support
33,The Warden,Justin Placinto,United States,North America,Another NA Team,Support
34,monkeys-forever,Jaron Clinton,United States,North America,Arkosh Gaming,Offlaner
35,Xcalibur,Steve Ye,Sweden,Europe,Arkosh Gaming,Solo Middle
36,Febby,Kim Yong-min,South Korea,Other,Arkosh Gaming,Support
37,Zfreek,Zakari Freedman,United States,North America,Arkosh Gaming,Support
38,inYourdreaM,Muhammad Rizky,Indonesia,Southeast Asia,Army Geniuses,Carry
39,Yowe,Yuri Dave Pacaña,Philippines,Southeast Asia,Army Geniuses,Carry
40,Clairvoyance,Aaron Kim,Canada,North America,Army Geniuses,Coach
41,Koala,Farand Kowara,Indonesia,Southeast Asia,Army Geniuses,Coach
42,db-,Daud Budiawan,Indonesia,Southeast Asia,Army Geniuses,Offlaner
43,Jhocam,Tri Kuncoro,Indonesia,Southeast Asia,Army Geniuses,Support
44,Varizh,Rizki Varizh,Indonesia,Southeast Asia,Army Geniuses,Support
45,Ulu,Wang Jiakai,China,China,Aster.Aries,Carry
46,86,Chen Yuxuan,China,China,Aster.Aries,Coach
47,Op,Ou Peng,China,China,Aster.Aries,Coach
48,生死,Xiao Yihu,China,China,Aster.Aries,Offlaner
49,White丶Album,Liu Yuhao,China,China,Aster.Aries,Solo Middle
50,RedPanda,Ru Zhihao,China,China,Aster.Aries,Support
51,TK,He Boyi,China,China,Aster.Aries,Support
52,StoneBank,Denis Korzh,Ukraine,Europe,B8,Carry
53,Funn1k,Glib Lipatnikov,Ukraine,Europe,B8,Offlaner
54,Dendi,Danil Ishutin,Ukraine,Europe,B8,Solo Middle
55,MoOz,Joel Mori Ozambela,Peru,South America,B8,Support
56,Lodine,Oleg Kvasha,Ukraine,Europe,B8,Support
57,SoLotic,Posathorn Kasemsawat,Thailand,Southeast Asia,Baby Build House,Support
58,Ñengo,José Luis Laura,Peru,South America,Balrogs,Solo Middle
59,Dark_Demon,Diego Mathias Huamán,Peru,South America,Balrogs,Support
60,K1,Héctor Antonio Rodríguez,Peru,South America,beastcoast,Carry
61,Raykill,Eduardo Nuñez,Venezuela,South America,beastcoast,Coach
62,Sacred,Rafael Hinostroza Yonatan,Peru,South America,beastcoast,Offlaner
63,Valqui,Thomas Jaulis Romero,Peru,South America,beastcoast,Offlaner
64,DarkMago,Herrera Martínez Oswaldo Gonzalo,Peru,South America,beastcoast,Solo Middle
65,Scofield,Elvis De la Cruz Peña,Peru,South America,beastcoast,Support
66,StingeR,Steven Edwin Vargas Mamani,Peru,South America,beastcoast,Support
67,lowkez,Ilgiz Arduganov,Russia,Europe,BENZ190E,Support
68,Pure,Ivan Moskalenko,Russia,Europe,BetBoom Team,Carry
69,boo1k,Anatoly Ivanov,Russia,Europe,BetBoom Team,Coach
