p_id,Gamer_ID,name,country,Region,team_name,role,team_id,rank
1,dnm,David Cossio,United States,North America,5RATFORCESTAFF,Carry,1,0
2,Speeed,Paul Bocchicchio,United States,North America,5RATFORCESTAFF,Offlaner,1,264
3,Kitzz,Francis Arriola,United States,North America,5RATFORCESTAFF,Solo Middle,1,122
4,CTOMAHEH1,Nikolay Kalchev,Bulgaria,Europe,5RATFORCESTAFF,Support,1,144
5,albinozebra1,Matthew Conley,United States,North America,5RATFORCESTAFF,Support,1,250
6,charlie,Charlie Arat,Sweden,Europe,Alliance,Carry,26,214
7,Loda,Jonathan Emanuel Berg,Sweden,Europe,Alliance,Coach,26,164
8,s4,Gustav Magnusson,Sweden,Europe,Alliance,Offlaner,26,129
9,ChYuan,Ng Kee Chyuan,Malaysia,Southeast Asia,Alliance,Solo Middle,26,36
10,ponlo,Remus Goh Zhi Xian,Singapore,Southeast Asia,Alliance,Support,26,20
11,Handsken,Simon Rasmus Haag,Sweden,Europe,Alliance,Support,26,228
12,Lumière,Edward Guillen Valencia,Peru,South America,Alliance.LATAM,Carry,13,170
13,Vitaly,Pablo Cesar Angulo Roman,Peru,South America,Alliance.LATAM,Offlaner,13,362
14,4nalog,João Gabriel Giannini,Brazil,South America,Alliance.LATAM,Solo Middle,13,140
15,Thiolicor,Thiago de Oliveira Cordeiro,Brazil,South America,Alliance.LATAM,Support,13,94
16,Gardick,Brayan Antony López Cárdenas,Peru,South America,Alliance.LATAM,Support,13,245
17,Rises,Diego Nicolás Ortas Rodríguez,Uruguay,South America,ALPHA,Carry,2,270
18,Monster,Steven Noel,United States,North America,ALPHA,Offlaner,2,367
19,BlackSoul,Josue Ronald Ticona Aliendre,Bolivia,South America,ALPHA,Solo Middle,2,68
20,wij,Nicolás Moreno,Argentina,South America,ALPHA,Support,2,1
21,Yadomi,Junior Reyes Rimari,Peru,South America,ALPHA,Support,2,341
22,monkeys-forever,Jaron Clinton,United States,North America,Arkosh Gaming,Offlaner,3,258
23,Xcalibur,Steve Ye,Sweden,Europe,Arkosh Gaming,Solo Middle,3,95
24,Febby,Kim Yong-min,South Korea,Other,Arkosh Gaming,Support,3,40
25,Zfreek,Zakari Freedman,United States,North America,Arkosh Gaming,Support,3,205
26,inYourdreaM,Muhammad Rizky,Indonesia,Southeast Asia,Army Geniuses,Carry,68,134
27,Yowe,Yuri Dave Pacaña,Philippines,Southeast Asia,Army Geniuses,Carry,68,28
28,Clairvoyance,Aaron Kim,Canada,North America,Army Geniuses,Coach,68,63
29,Koala,Farand Kowara,Indonesia,Southeast Asia,Army Geniuses,Coach,68,145
30,db-,Daud Budiawan,Indonesia,Southeast Asia,Army Geniuses,Offlaner,68,242
31,Jhocam,Tri Kuncoro,Indonesia,Southeast Asia,Army Geniuses,Support,68,202
32,Varizh,Rizki Varizh,Indonesia,Southeast Asia,Army Geniuses,Support,68,23
33,Ulu,Wang Jiakai,China,China,Aster.Aries,Carry,55,171
34,86,Chen Yuxuan,China,China,Aster.Aries,Coach,55,168
35,Op,Ou Peng,China,China,Aster.Aries,Coach,55,178
36,生死,Xiao Yihu,China,China,Aster.Aries,Offlaner,55,143
37,White丶Album,Liu Yuhao,China,China,Aster.Aries,Solo Middle,55,281
38,RedPanda,Ru Zhihao,China,China,Aster.Aries,Support,55,76
39,TK,He Boyi,China,China,Aster.Aries,Support,55,155
40,StoneBank,Denis Korzh,Ukraine,Europe,B8,Carry,4,330
41,Funn1k,Glib Lipatnikov,Ukraine,Europe,B8,Offlaner,4,311
42,Dendi,Danil Ishutin,Ukraine,Europe,B8,Solo Middle,4,131
43,MoOz,Joel Mori Ozambela,Peru,South America,B8,Support,4,21
44,Lodine,Oleg Kvasha,Ukraine,Europe,B8,Support,4,133
45,Ñengo,José Luis Laura,Peru,South America,Balrogs,Solo Middle,14,220
46,Dark_Demon,Diego Mathias Huamán,Peru,South America,Balrogs,Support,14,138
47,K1,Héctor Antonio Rodríguez,Peru,South America,beastcoast,Carry,15,91
48,Raykill,Eduardo Nuñez,Venezuela,South America,beastcoast,Coach,15,48
49,Sacred,Rafael Hinostroza Yonatan,Peru,South America,beastcoast,Offlaner,15,179
50,Valqui,Thomas Jaulis Romero,Peru,South America,beastcoast,Offlaner,15,199
51,DarkMago,Herrera Martínez Oswaldo Gonzalo,Peru,South America,beastcoast,Solo Middle,15,27
52,Scofield,Elvis De la Cruz Peña,Peru,South America,beastcoast,Support,15,343
53,StingeR,Steven Edwin Vargas Mamani,Peru,South America,beastcoast,Support,15,304
54,Pure,Ivan Moskalenko,Russia,Europe,BetBoom Team,Carry,40,297
55,boo1k,Anatoly Ivanov,Russia,Europe,BetBoom Team,Coach,40,43
56,Nightfall,Egor Grigorenko,Russia,Europe,BetBoom Team,Offlaner,40,369
57,gpk,Danil Skutin,Russia,Europe,BetBoom Team,Solo Middle,40,334
58,Save-,Vitalie Melnic,Moldova,Europe,BetBoom Team,Support,40,306
59,TORONTOTOKYO,Alexander Khertek,Russia,Europe,BetBoom Team,Support,40,195
60,Raven,Marc Polo Luis Fausto,Philippines,Southeast Asia,Blacklist International,Carry,69,247
61,Kuku,Carlo Palad,Philippines,Southeast Asia,Blacklist International,Offlaner,69,185
62,Karl,Karl Matthew Baldovino,Philippines,Southeast Asia,Blacklist International,Solo Middle,69,45
63,eyyou,Nico Barcelon,Philippines,Southeast Asia,Blacklist International,Support,69,364
64,TIMS,Timothy John Randrup,Philippines,Southeast Asia,Blacklist International,Support,69,218
65,JaCkky,Souliya Khoomphetsavong,Laos,Southeast Asia,Bleed Esports,Carry,70,80
66,Forev,Lee Sang-don,South Korea,Other,Bleed Esports,Coach,70,289
67,Masaros,Natthaphon Ouanphakdee,Thailand,Southeast Asia,Bleed Esports,Offlaner,70,146
68,Kordan,Teng Tjin Yao,Singapore,Southeast Asia,Bleed Esports,Solo Middle,70,348
69,PlayHard,Prieme Ejay Banquil,Philippines,Southeast Asia,Bleed Esports,Support,70,192
70,DuBu,Kim Doo-young,South Korea,Other,Bleed Esports,Support,70,212
71,Natsumi-,John Anthony Vargas,Philippines,Southeast Asia,BOOM Esports,Carry,71,92
72,Mushi,Chai Yee Fung,Malaysia,Southeast Asia,BOOM Esports,Coach,71,151
73,Fbz,Saieful Ilham,Indonesia,Southeast Asia,BOOM Esports,Offlaner,71,66
74,Yopaj,Erin Jasper Ferrer,Philippines,Southeast Asia,BOOM Esports,Solo Middle,71,351
75,Xepher,Kenny Deo,Indonesia,Southeast Asia,BOOM Esports,Support,71,22
76,xNova,Yap Jian Wei,Malaysia,Southeast Asia,BOOM Esports,Support,71,24
77,alberkaaa,Albert Chernoivanov,Russia,Europe,cybercats,Carry,41,4
78,Fervian,Evgeniy Aksyonov,Russia,Europe,cybercats,Coach,41,175
79,Forcemajor,Maksim Meretskii,Russia,Europe,cybercats,Support,41,279
