p_id,Gamer_ID,name,country,Region,team_name,role,team_id,rank
1,dnm,David Cossio,United States,North America,5RATFORCESTAFF,Carry,1,0
2,Speeed,Paul Bocchicchio,United States,North America,5RATFORCESTAFF,Offlaner,1,264
3,Kitzz,Francis Arriola,United States,North America,5RATFORCESTAFF,Solo Middle,1,122
4,CTOMAHEH1,Nikolay Kalchev,Bulgaria,Europe,5RATFORCESTAFF,Support,1,144
5,albinozebra1,Matthew Conley,United States,North America,5RATFORCESTAFF,Support,1,250
6,charlie,Charlie Arat,Sweden,Europe,Alliance,Carry,26,214
7,Loda,Jonathan Emanuel Berg,Sweden,Europe,Alliance,Coach,26,164
8,s4,Gustav Magnusson,Sweden,Europe,Alliance,Offlaner,26,129
9,ChYuan,Ng Kee Chyuan,Malaysia,Southeast Asia,Alliance,Solo Middle,26,36
10,ponlo,Remus Goh Zhi Xian,Singapore,Southeast Asia,Alliance,Support,26,20
11,Handsken,Simon Rasmus Haag,Sweden,Europe,Alliance,Support,26,228
12,Lumière,Edward Guillen Valencia,Peru,South America,Alliance.LATAM,Carry,13,170
13,Vitaly,Pablo Cesar Angulo Roman,Peru,South America,Alliance.LATAM,Offlaner,13,362
14,4nalog,João Gabriel Giannini,Brazil,South America,Alliance.LATAM,Solo Middle,13,140
15,Thiolicor,Thiago de Oliveira Cordeiro,Brazil,South America,Alliance.LATAM,Support,13,94
16,Gardick,Brayan Antony López Cárdenas,Peru,South America,Alliance.LATAM,Support,13,245
17,Rises,Diego Nicolás Ortas Rodríguez,Uruguay,South America,ALPHA,Carry,2,270
18,Monster,Steven Noel,United States,North America,ALPHA,Offlaner,2,367
19,BlackSoul,Josue Ronald Ticona Aliendre,Bolivia,South America,ALPHA,Solo Middle,2,68
20,wij,Nicolás Moreno,Argentina,South America,ALPHA,Support,2,1
21,Yadomi,Junior Reyes Rimari,Peru,South America,ALPHA,Support,2,341
34,monkeys-forever,Jaron Clinton,United States,North America,Arkosh Gaming,Offlaner,3,258
35,Xcalibur,Steve Ye,Sweden,Europe,Arkosh Gaming,Solo Middle,3,95
36,Febby,Kim Yong-min,South Korea,Other,Arkosh Gaming,Support,3,40
37,Zfreek,Zakari Freedman,United States,North America,Arkosh Gaming,Support,3,205
38,inYourdreaM,Muhammad Rizky,Indonesia,Southeast Asia,Army Geniuses,Carry,68,134
39,Yowe,Yuri Dave Pacaña,Philippines,Southeast Asia,Army Geniuses,Carry,68,28
40,Clairvoyance,Aaron Kim,Canada,North America,Army Geniuses,Coach,68,63
41,Koala,Farand Kowara,Indonesia,Southeast Asia,Army Geniuses,Coach,68,145
42,db-,Daud Budiawan,Indonesia,Southeast Asia,Army Geniuses,Offlaner,68,242
43,Jhocam,Tri Kuncoro,Indonesia,Southeast Asia,Army Geniuses,Support,68,202
44,Varizh,Rizki Varizh,Indonesia,Southeast Asia,Army Geniuses,Support,68,23
45,Ulu,Wang Jiakai,China,China,Aster.Aries,Carry,55,171
46,86,Chen Yuxuan,China,China,Aster.Aries,Coach,55,168
47,Op,Ou Peng,China,China,Aster.Aries,Coach,55,178
48,生死,Xiao Yihu,China,China,Aster.Aries,Offlaner,55,143
49,White丶Album,Liu Yuhao,China,China,Aster.Aries,Solo Middle,55,281
50,RedPanda,Ru Zhihao,China,China,Aster.Aries,Support,55,76
51,TK,He Boyi,China,China,Aster.Aries,Support,55,155
52,StoneBank,Denis Korzh,Ukraine,Europe,B8,Carry,4,330
53,Funn1k,Glib Lipatnikov,Ukraine,Europe,B8,Offlaner,4,311
54,Dendi,Danil Ishutin,Ukraine,Europe,B8,Solo Middle,4,131
55,MoOz,Joel Mori Ozambela,Peru,South America,B8,Support,4,21
56,Lodine,Oleg Kvasha,Ukraine,Europe,B8,Support,4,133
58,Ñengo,José Luis Laura,Peru,South America,Balrogs,Solo Middle,14,220
59,Dark_Demon,Diego Mathias Huamán,Peru,South America,Balrogs,Support,14,138
60,K1,Héctor Antonio Rodríguez,Peru,South America,beastcoast,Carry,15,91
61,Raykill,Eduardo Nuñez,Venezuela,South America,beastcoast,Coach,15,48
62,Sacred,Rafael Hinostroza Yonatan,Peru,South America,beastcoast,Offlaner,15,179
63,Valqui,Thomas Jaulis Romero,Peru,South America,beastcoast,Offlaner,15,199
64,DarkMago,Herrera Martínez Oswaldo Gonzalo,Peru,South America,beastcoast,Solo Middle,15,27
65,Scofield,Elvis De la Cruz Peña,Peru,South America,beastcoast,Support,15,343
66,StingeR,Steven Edwin Vargas Mamani,Peru,South America,beastcoast,Support,15,304
68,Pure,Ivan Moskalenko,Russia,Europe,BetBoom Team,Carry,40,297
69,boo1k,Anatoly Ivanov,Russia,Europe,BetBoom Team,Coach,40,43
70,Nightfall,Egor Grigorenko,Russia,Europe,BetBoom Team,Offlaner,40,369
71,gpk,Danil Skutin,Russia,Europe,BetBoom Team,Solo Middle,40,334
72,Save-,Vitalie Melnic,Moldova,Europe,BetBoom Team,Support,40,306
73,TORONTOTOKYO,Alexander Khertek,Russia,Europe,BetBoom Team,Support,40,195
75,Raven,Marc Polo Luis Fausto,Philippines,Southeast Asia,Blacklist International,Carry,69,247
76,Kuku,Carlo Palad,Philippines,Southeast Asia,Blacklist International,Offlaner,69,185
77,Karl,Karl Matthew Baldovino,Philippines,Southeast Asia,Blacklist International,Solo Middle,69,45
78,eyyou,Nico Barcelon,Philippines,Southeast Asia,Blacklist International,Support,69,364
79,TIMS,Timothy John Randrup,Philippines,Southeast Asia,Blacklist International,Support,69,218
80,JaCkky,Souliya Khoomphetsavong,Laos,Southeast Asia,Bleed Esports,Carry,70,80
81,Forev,Lee Sang-don,South Korea,Other,Bleed Esports,Coach,70,289
82,Masaros,Natthaphon Ouanphakdee,Thailand,Southeast Asia,Bleed Esports,Offlaner,70,146
83,Kordan,Teng Tjin Yao,Singapore,Southeast Asia,Bleed Esports,Solo Middle,70,348
84,PlayHard,Prieme Ejay Banquil,Philippines,Southeast Asia,Bleed Esports,Support,70,192
85,DuBu,Kim Doo-young,South Korea,Other,Bleed Esports,Support,70,212
86,Natsumi-,John Anthony Vargas,Philippines,Southeast Asia,BOOM Esports,Carry,71,92
87,Mushi,Chai Yee Fung,Malaysia,Southeast Asia,BOOM Esports,Coach,71,151
88,Fbz,Saieful Ilham,Indonesia,Southeast Asia,BOOM Esports,Offlaner,71,66
89,Yopaj,Erin Jasper Ferrer,Philippines,Southeast Asia,BOOM Esports,Solo Middle,71,351
90,Xepher,Kenny Deo,Indonesia,Southeast Asia,BOOM Esports,Support,71,22
91,xNova,Yap Jian Wei,Malaysia,Southeast Asia,BOOM Esports,Support,71,24
98,alberkaaa,Albert Chernoivanov,Russia,Europe,cybercats,Carry,41,4
99,Fervian,Evgeniy Aksyonov,Russia,Europe,cybercats,Coach,41,175
100,Forcemajor,Maksim Meretskii,Russia,Europe,cybercats,Support,41,279
