hero_id,game_id,total_gold,item_id_1,item_id_2,item_id_3,item_id_4,item_id_5
11,1,19500,136,49,123,65,113
112,1,19240,24,48,6,27,144
88,1,21216,64,35,157,167,87
13,1,30784,94,162,21,48,76
98,1,28184,62,116,138,70,158
69,1,13884,8,83,131,52,165
32,1,11804,88,41,97,82,158
93,1,22932,81,164,113,26,30
102,1,12116,126,5,103,9,64
84,1,44304,39,155,14,47,53
23,2,16500,42,70,9,7,106
111,2,14880,102,60,10,35,112
70,2,15420,154,149,75,11,53
12,2,22410,142,114,120,10,24
102,2,5220,139,19,67,84,158
85,2,7710,93,113,89,161,126
25,2,23040,129,123,6,62,133
84,2,14700,116,49,167,57,123
69,2,8010,85,145,46,59,137
118,2,19590,97,144,138,110,151
39,3,25272,56,75,102,128,135
49,3,46494,62,81,74,54,107
65,3,32562,39,34,154,104,147
99,3,31914,118,28,56,100,3
71,3,37638,137,88,92,36,35
46,3,34614,83,87,38,58,115
82,3,22194,131,2,77,159,99
58,3,21546,44,74,12,148,77
91,3,26622,3,58,36,31,64
33,3,25542,122,152,106,81,115
44,4,14935,8,161,140,105,80
84,4,18096,169,124,105,38,103
74,4,10672,13,34,144,33,131
58,4,11571,3,121,38,158,25
25,4,23403,118,91,13,157,161
8,4,15950,169,144,22,165,23
42,4,17255,154,106,30,26,81
47,4,9773,129,142,156,160,141
56,4,11890,63,116,60,96,37
47,4,7540,153,11,43,9,169
107,5,29026,27,74,104,4,100
89,5,23736,8,146,70,53,28
50,5,12144,79,138,159,127,56
118,5,29946,86,5,103,14,143
96,5,27646,91,167,49,128,96
52,5,30636,162,75,149,116,11
1,5,11684,99,112,38,68,114
15,5,26956,97,17,39,153,156
18,5,19872,26,126,93,143,39
71,5,27692,96,14,43,26,112
33,6,25245,130,12,119,10,169
70,6,13995,143,126,136,27,11
103,6,19575,2,54,99,57,101
97,6,35055,19,117,166,145,159
26,6,34065,10,43,17,68,28
35,6,13590,16,53,76,26,71
81,6,18585,149,116,63,118,97
43,6,33750,141,43,171,154,18
20,6,17955,107,124,132,92,44
110,6,21825,86,145,124,109,83
70,7,18688,71,147,42,55,45
20,7,10272,58,159,56,106,102
38,7,21984,139,56,77,33,42
83,7,9568,124,30,62,50,155
48,7,14976,114,52,10,138,40
89,7,15712,114,40,105,116,160
93,7,15744,68,106,127,117,85
91,7,22880,59,18,74,52,102
103,7,22784,139,98,15,40,151
51,7,19840,65,102,144,157,87
33,8,19635,136,163,157,156,72
80,8,9170,152,37,142,128,132
101,8,22575,115,110,172,156,142
87,8,11585,9,55,143,145,71
43,8,14070,93,38,35,160,98
92,8,13825,125,131,169,135,126
117,8,17885,80,159,64,163,134
101,8,20790,43,81,105,149,31
116,8,8540,56,69,137,134,54
36,8,22680,119,109,78,97,61
2,9,16000,138,160,155,154,16
48,9,27750,1,4,167,45,137
89,9,26100,163,55,57,164,47
22,9,19300,36,18,35,9,93
2,9,16000,87,172,51,25,39
36,9,27050,24,16,134,154,155
